state,county,tract,kfr_pooled_pooled_p25,par_rank_pooled_pooled_mean,kid_pooled_pooled_n,kid_black_pooled_n,geoid
17,31,61100,0.54863739,0.46792224,69.0,3.0,17031061100
17,31,61200,0.39216146,0.68100572,93.0,2.0,17031061200
17,31,61500,0.4051266,0.55493462,125.0,2.0,17031061500
17,31,61800,0.41288477,0.43530259,42.0,1.0,17031061800
17,31,61901,0.3832317,0.55394614,225.0,11.0,17031061901
17,31,61902,0.43548566,0.67717755,277.0,14.0,17031061902
17,31,62000,0.44505894,0.52904302,148.0,11.0,17031062000
17,31,62100,0.36764252,0.49421257,90.0,3.0,17031062100
17,31,62200,0.38275403,0.41377309,185.0,9.0,17031062200
17,31,62300,0.46386984,0.59652436,156.0,3.0,17031062300
17,31,62400,0.36707252,0.52737218,128.0,5.0,17031062400
17,31,62500,0.36248878,0.45191392,113.0,4.0,17031062500
17,31,62600,0.40249768,0.4821761,141.0,3.0,17031062600
17,31,62700,0.33608374,0.50545889,246.0,4.0,17031062700
17,31,62800,0.36321011,0.60720664,308.0,1.0,17031062800
17,31,62900,0.44701859,0.67721421,270.0,17.0,17031062900
17,31,63000,0.39770073,0.64622343,190.0,13.0,17031063000
17,31,63100,0.48407242,0.53311813,130.0,1.0,17031063100
17,31,63200,0.38889351,0.65875143,430.0,41.0,17031063200
17,31,63301,0.44228756,0.46671358,133.0,8.0,17031063301
17,31,63302,0.41211393,0.72533309,202.0,13.0,17031063302
17,31,63303,0.38766512,0.68562645,61.0,4.0,17031063303
17,31,63400,0.36626658,0.45622733,104.0,11.0,17031063400
17,31,70101,0.57635409,0.77994359,151.0,3.0,17031070101
17,31,70102,0.54288709,0.60945868,96.0,2.0,17031070102
17,31,70103,0.7088775,0.65598601,68.0,2.0,17031070103
17,31,70200,0.56927693,0.76786596,287.0,0.0,17031070200
17,31,70300,0.41983268,0.58246249,235.0,3.0,17031070300
17,31,70400,0.40767324,0.71716726,345.0,7.0,17031070400
