geoid,county,mobility,parent_rank,frac_black,density,transit_added,jobs_5,jobs_10,jobs_15,jobs_20,jobs_25,jobs_30,jobs_35,jobs_40,jobs_45,jobs_50,jobs_55,jobs_60
17031010100,Cook,34.787261,27.367529,0.6833756345177665,10755.475498442827,3.202424981047885,123.47245322245324,639.4397089397089,2156.768711018711,9413.08575883576,28409.776507276507,58439.327442827445,92530.6372141372,134623.08731808732,205414.58835758836,418210.15332640335,803857.0997920998,1020711.028066528
17031010201,Cook,34.579933000000004,31.765181,0.40027014858171994,11402.921899394716,3.1275797939618917,54.238853503184714,633.4263977353149,2660.9734607218684,7126.075371549894,22293.420382165605,57286.874380750174,96158.7508846426,129537.42922859165,175039.29051663127,259655.67869780608,506320.81988676573,851060.6854210899
17031010202,Cook,34.250006,38.730964,0.40103092783505156,7152.3615941384705,2.8659687281105297,285.0291734197731,1553.9935170178285,5004.173419773096,15016.847649918962,36661.540518638576,70691.50162074555,110766.46110210696,162794.3444084279,281936.65478119935,649988.6863857374,1032054.9619124796,1142081.0632090762
17031010300,Cook,34.55323,37.148848,0.4450402144772118,6133.464040755741,2.968172671898625,366.293808630394,1142.4739212007505,3104.455534709193,10778.28780487805,22747.81050656661,48395.83752345216,87520.9373358349,131814.2975609756,231038.5879924953,527477.7632270169,879265.4382739211,1062670.2622889306
17031010400,Cook,44.876414999999994,32.099622,0.2102803738317757,3030.0483577289788,2.574690065160305,1070.1292194092828,2905.4462025316457,7472.9219409282705,15162.549578059072,25158.57014767933,41557.78111814346,76178.20569620254,162403.9266877637,362932.64926160336,669798.0015822785,959230.2779535864,1091570.9166666667
17031010501,Cook,32.830122,30.720013,0.34810951760104303,9827.791011995627,3.0068706375511827,246.39711384286477,1106.7562800641367,7135.965259219669,14269.678246926776,24278.738107963654,46232.54836985569,92532.6183858899,152762.6894708712,346912.77979690005,723395.5542490646,1015399.5676109032,1125419.594869054
17031010502,Cook,39.966345,36.865407,0.3493975903614458,8342.017075079086,3.0355267194289883,131.62209711470794,1005.1315974665728,6879.468684025334,15356.516537649542,25437.073891625616,40789.35186488389,74615.38916256158,145389.32723434202,350372.52920478536,710272.4623504574,1001082.7473610132,1091895.584799437
17031010503,Cook,41.611263,39.755672,0.34965034965034963,5721.063468120796,2.4412228671356626,219.56801909307876,4028.8114558472553,10283.46181384248,19869.08472553699,31422.32816229117,47643.64319809069,88251.12291169452,186084.0942720764,492091.0023866348,802199.7362768496,1019560.8198090692,1113030.8556085918
17031010600,Cook,36.455035,37.564313,0.37320574162679426,8748.103843871608,3.002211503067987,206.9093054619015,1090.2353337828729,5256.561024949427,13688.796021577882,24347.34052596089,41730.74612272421,76728.42110586648,134224.3186109238,286616.79197572486,619774.4002022926,952555.1945380984,1096805.2660148349
17031010701,Cook,40.507621,41.138572,0.31551596139569416,8119.141671024674,3.0950893295356843,49.92075892857143,872.6049107142857,3326.1043526785716,7695.003348214285,20294.834821428572,47116.998325892855,89401.05747767857,145642.48270089287,256814.55859375,486178.74665178574,844691.5915178572,1087436.7271205357
17031010702,Cook,36.28068,31.147721,0.3149386845039019,12995.286422921634,2.7463084932116524,465.5758527827648,2073.6189407540396,3790.113105924596,10275.208707360862,27919.842908438062,54317.87387791742,101316.31193895872,169097.49147217235,321685.6157989228,657180.8128366248,1028504.2832136444,1156768.5067324955
17031020100,Cook,41.483366,40.124613,0.29125,5039.438869206991,2.849661316453192,98.85353535353536,725.0561167227834,2664.08024691358,7372.991582491582,17392.26150392817,41949.01290684624,84533.0544332211,123159.56958473624,161399.39618406285,212014.87373737377,300757.234006734,513606.6750841751
